2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total kills
10,15,11,24,13,7,9,10,12,3,114
14,13,5,17,11,11,9,10,5,8,103
13,10,10,15,14,0,2,1,7,8,80
10,13,10,10,13,13,8,7,6,5,95
11,9,7,7,9,8,5,15,13,13,97
3,4,5,3,3,1,2,9,4,9,43
5,2,8,8,3,4,9,5,10,7,61
14,9,12,14,4,7,3,8,10,7,88
4,7,8,4,3,5,0,2,5,10,48
2,1,1,2,2,0,0,0,1,0,9
2,2,4,3,4,7,3,4,0,2,31
1,0,1,1,2,3,5,5,3,4,25
2,1,2,1,1,0,0,2,3,3,15
2,5,2,3,1,2,4,6,1,0,26
27,26,27,19,19,18,16,10,9,19,190
5,7,6,7,5,8,6,6,1,6,57
11,14,20,12,11,5,8,14,7,5,107
4,6,4,5,7,5,0,0,2,0,33
43,37,38,40,44,31,19,22,21,19,314
12,14,19,16,19,14,11,11,6,11,133
2,4,3,2,2,0,0,2,3,5,23
14,16,32,18,11,16,7,8,9,6,137
14,12,15,11,11,0,1,2,4,4,74
11,7,8,24,7,6,0,4,2,0,69
11,11,14,12,12,13,7,7,6,17,110
7,11,8,7,9,2,0,7,6,8,65
23,15,14,14,7,11,9,8,5,6,112
13,11,11,6,7,11,1,4,2,1,67
14,11,8,7,4,8,2,2,3,6,65
10,7,10,11,5,5,2,2,2,1,55
7,14,14,32,31,0,7,12,3,11,131
11,14,11,15,12,2,5,12,6,6,94
2,7,2,3,3,0,0,1,0,2,20
11,7,8,12,7,5,4,5,3,8,70
5,4,4,5,3,8,4,9,5,7,54
14,20,26,14,9,12,13,12,12,10,142
